SOURCE_FILE,SOURCE_SHEET,SOURCE_ROW,DOCUMENT_TYPE,RAW_DESCRIPTION,NORMALIZED_DESCRIPTION,QUANTITY,RAW_UNIT_PRICE,PRICE_EXCL_TAX,PRICE_STATUS,IS_SERVICE,IS_FOOD,IS_MEAT,CATEGORY,UOM,IDENTITY_KEY,CURRENCY
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,21,QUOTATION,Construccion de Rampa y platea p/parqueos  en Hormigon Asfaltico E:0.07,construccion de rampa y platea p/parqueos en hormigon asfaltico e 0.07,,,,MISSING_VALID_PRICE,False,False,False,Construcción,Units,construccion|rampa|platea|p/parqueos|hormigon|asfaltico|e|0.07,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,22,QUOTATION,Hormigon Asfaltico,hormigon asfaltico,29.0,12000.0,12000.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,hormigon|asfaltico,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,23,QUOTATION,"Construccion Conten, Acera y Platea",construccion conten acera y platea,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,construccion|conten|acera|platea,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,24,QUOTATION,Acera en Hormigon 210 kg/cm2- e=0.10m   (Violinada),acera en hormigon 210 kg/cm2- e 0.10m violinada,1.0,10300.0,10300.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,acera|hormigon|210|kg/cm2-|e|0.10m|violinada|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,25,QUOTATION,Conten pulido de  h=0.20m,conten pulido de h 0.20m,8.0,1200.0,1200.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,conten|pulido|h|0.20m,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,26,QUOTATION,Platea en Hormigon 210 kg/cm2-h:0.10  con malla electrosold. D2.3 20x20,platea en hormigon 210 kg/cm2-h 0.10 con malla electrosold. d2.3 20x20,2.0,10000.0,10000.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,platea|hormigon|210|kg/cm2-h|0.10|malla|electrosold.|d2.3|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,27,QUOTATION,Construccion Pandereta p/division en Sheetrock,construccion pandereta p/division en sheetrock,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,construccion|pandereta|p/division|sheetrock,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,28,QUOTATION,Pandereta en Sheetrock,pandereta en sheetrock,1.0,55000.0,55000.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,pandereta|sheetrock,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,34,QUOTATION,DIRECCION TECNICA,direccion tecnica,10.0,,6271.0,FROM_SUBTOTAL,False,False,False,Ferretería,Units,direccion|tecnica,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,36,QUOTATION,TRANSPORTE,transporte,5.0,,6271.0,FROM_SUBTOTAL,False,False,False,Ferretería,Units,transporte,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,16,INVOICE,Preliminares,preliminares,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,preliminares,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,17,INVOICE,Demolicion,demolicion,371.0,200.0,200.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,m²,demolicion,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,18,INVOICE,Preparacion de terreno,preparacion de terreno,1.0,25000.0,25000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,preparacion|terreno,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,19,INVOICE,Bote de Material,bote de material,1.0,55000.0,55000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,bote|material,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,20,INVOICE,Brigada topografica,brigada topografica,1.0,30000.0,30000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,brigada|topografica,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,22,INVOICE,Construccion de Rampa y platea p/parqueos  en Hormigon Asfaltico E:0.07,construccion de rampa y platea p/parqueos en hormigon asfaltico e 0.07,,,,MISSING_VALID_PRICE,False,False,False,Construcción,Units,construccion|rampa|platea|p/parqueos|hormigon|asfaltico|e|0.07,DOP
