CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-1163,BOTAS PARA HOMBRE,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,botas|para|hombre,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1164,Breakers DE 30 AMP,consu,Material eléctrico,Units,,,,False,False,False,SHARED,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,breakers|30|amp,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1165,Breakers DE 50 AMP,consu,Material eléctrico,Units,,,,False,False,False,SHARED,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,breakers|50|amp,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1166,Breakers DE 100 AMP,consu,Material eléctrico,Units,,,,False,False,False,SHARED,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,breakers|100|amp,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1167,Breakers DE 100 AMP Trifasico,consu,Material eléctrico,Units,,,,False,False,False,SHARED,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,breakers|100|amp|trifasico,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1168,Canaletas PARA CABLES,consu,Material eléctrico,Units,,,,False,False,False,SHARED,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,canaletas|para|cables,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1169,CAJAS DE Guantes DE Aislantes,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,cajas|guantes|aislantes,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1170,CAJAS DE Breaker DE 20 AMP,consu,Material eléctrico,Units,,,,False,False,False,SHARED,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,cajas|breaker|20|amp,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1171,CAJAS DE Breaker DE 20W,consu,Material eléctrico,Units,,,power=20W,False,False,False,SHARED,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,cajas|breaker|20|w|20W,COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-1172,CAJAS DE Breaker DE 30W,consu,Material eléctrico,Units,,,power=30W,False,False,False,SHARED,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,cajas|breaker|30|w|30W,COTIZACIONES_DORALEX_SRL_bb53.xlsx
