CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-1810,LECHE ENTERA Listamilk 1 LT,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,5,,,,NEW_PRODUCT,1,5,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,leche|entera|listamilk|1|lt,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1811,LECHE Carnation 312 G,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,leche|carnation|312|g,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1812,LECHE DE COCO,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,2,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,leche|coco,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1813,Mayonesa BALDON GALON 1GL,consu,Alimentos,Units,,,presentation=1 gl,True,False,False,PINARIA,,,,5,,,,NEW_PRODUCT,1,5,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,mayonesa|baldon|galon|1|gal|1 gl,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1815,ARROZ CAMPO Premiun SACO 50LB,consu,Alimentos,Units,,,presentation=50 lb,True,False,False,PINARIA,,,,5,,,,NEW_PRODUCT,1,5,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,arroz|campo|premiun|saco|50|lb|50 lb,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1826,CALDO DE POLLO MAGGIE,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,5,,,,NEW_PRODUCT,1,5,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,caldo|pollo|maggie,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1829,HARINA DE MAIZ Mazorca 14 ONZ,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,5,,,,NEW_PRODUCT,1,5,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,harina|maiz|mazorca|14|onz,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1830,HARINA DE TRIGO MILANO 2LB,consu,Alimentos,Units,,,presentation=2 lb,True,False,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,harina|trigo|milano|2|lb|2 lb,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1832,HARINA DEL Negrito DE 16 OZ,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,harina|negrito|16|oz,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1840,AZUCAR CREMA 5LB,consu,Alimentos,Units,,,presentation=5 lb,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,azucar|crema|5|lb|5 lb,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1846,"Azucarera EN Porcelana BLANCA C/TAPA 2.75"" X 3.14''",consu,Alimentos,Units,,,"size=2.75""",True,False,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,"azucarera|porcelana|blanca|c/tapa|2.75""|x|3.14|2.75""",COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1881,SALAMI Induveca 3.5LB,consu,Carnes,Units,,,presentation=3.5 lb,False,True,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,salami|induveca|3.5|lb|3.5 lb,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1882,AZUCAR CREMA PAQ 10LB,consu,Alimentos,Units,,,presentation=10 lb,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,1,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,azucar|crema|paq|10|lb|10 lb,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1883,LECHE BALDOM 377 GR,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,1,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,leche|baldom|377|gr,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1884,LECHE DE COCO LA FAMOSA 444ML,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,1,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,leche|coco|famosa|444ml,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1890,HARINA DEL Negrito DE 28 OZ,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,1,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,harina|negrito|28|oz,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1895,CREMA DE LECHE RICA 330 ML,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,3,,,,NEW_PRODUCT,1,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,crema|leche|rica|330|ml,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1900,LIBRA DE Chuleta Ahumada,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,8,,,,NEW_PRODUCT,3,7,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,libra|chuleta|ahumada,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx | COTIZACION_-2026_MAYO_4932.xlsx
AG-1903,Pechuga,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pechuga,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1904,POLLO (13 UND),consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pollo|13|und,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1912,Azucarera 8x11 Cm HAUS,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,azucarera|8x11|cm|haus,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-2171,CARNE DE RES MOLIDA,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,6,,,,NEW_PRODUCT,1,6,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,carne|res|molida,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2172,Pechuga DE POLLO 50/1 LBS,consu,Carnes,Units,,,caliber=50/1 presentation=1 lbs,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pechuga|pollo|50/1|lb|50/1|1 lbs,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2173,CARNE DE RES #7,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,carne|res|7,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2174,HUEVO 30/1,consu,Alimentos,Units,,,caliber=30/1,True,False,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,huevo|30/1|30/1,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2176,JAMON 5/1 LBS,consu,Carnes,Units,,,caliber=5/1 presentation=1 lbs,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,jamon|5/1|lb|5/1|1 lbs,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2177,QUESO Amarillo 5/1 LBS,consu,Alimentos,Units,,,caliber=5/1 presentation=1 lbs,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,queso|amarillo|5/1|lb|5/1|1 lbs,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2178,QUESO BLANCO 5/1 LBS,consu,Alimentos,Units,,,caliber=5/1 presentation=1 lbs,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,queso|blanco|5/1|lb|5/1|1 lbs,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2179,SALAMI 3.2/1 LBS,consu,Carnes,Units,,,caliber=2/1 presentation=1 lbs,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,salami|3.2/1|lb|2/1|1 lbs,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2180,JAMON 5/1,consu,Carnes,Units,,,caliber=5/1,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,jamon|5/1|5/1,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2181,QUESO BLANCO 5/1,consu,Alimentos,Units,,,caliber=5/1,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,queso|blanco|5/1|5/1,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2182,SALAMI,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,salami,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2187,Yogourt YOKA SIN AZUCAR,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,yogourt|yoka|sin|azucar,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2192,Costilla CON FALDA,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,costilla|falda,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2198,LIBRA DE CARNE DE RES MOLIDA,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,libra|carne|res|molida,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2199,LIBRA DE Costilla Ahumada,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,libra|costilla|ahumada,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2200,LIBRA DE Costilla,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,libra|costilla,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2208,Bandeja DE MORO DE Habichuelas NEGRAS,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,bandeja|moro|habichuelas|negras,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2210,Bandeja DE POLLOS Horneados,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,bandeja|pollos|horneados,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2211,Bandeja DE Pastelon DE Platano MADURO,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,bandeja|pastelon|platano|maduro,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2213,ARROZ Selecto LA CIGUA GRADO A (PAQ 5 LB) 12/1,consu,Alimentos,Units,,,caliber=12/1 presentation=5 lb,True,False,False,PINARIA,,,,3,1850.0,1850.0,1850.0,NEW_PRODUCT,1,3,CREATE_PIÑARIA_PRODUCT,,SINGLE,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx,Hoja2,21,QUOTATION,ARROZ SELECTO LA CIGUA GRADO A (PAQ 5 LB) 12/1,1875.0,1850.0,DOP,arroz|selecto|cigua|grado|a|paq|5|lb|12/1|5 lb,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2218,Habichuelas PINTAS DON Rodrigo 400G 30/1,consu,Alimentos,Units,,,caliber=30/1,True,False,False,PINARIA,,,,3,1200.0,1200.0,1200.0,NEW_PRODUCT,1,3,CREATE_PIÑARIA_PRODUCT,,SINGLE,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx,Hoja2,26,QUOTATION,HABICHUELAS PINTAS DON RODRIGO 400G 30/1,750.0,1200.0,DOP,habichuelas|pintas|don|rodrigo|400g|30/1|30/1,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2221,LECHE EN POLVO MILEX 125GR 48/1,consu,Alimentos,Units,,,caliber=48/1,True,False,False,PINARIA,,,,3,3505.0,3505.0,3505.0,NEW_PRODUCT,1,3,CREATE_PIÑARIA_PRODUCT,,SINGLE,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx,Hoja2,29,QUOTATION,LECHE EN POLVO MILEX 125GR 48/1,471.0,3505.0,DOP,leche|polvo|milex|125gr|48/1|48/1,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2232,POLLO ENTERO GRANDE Y FRESCO,consu,Carnes,Units,,,,False,True,False,PINARIA,,,,2,,,,NEW_PRODUCT,1,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pollo|entero|grande|fresco,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-2237,Chuleta Ahumada (lonjeada),consu,Carnes,Units,,,,False,True,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,chuleta|ahumada|lonjeada,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
