PRODUCT_ID,TEMPLATE_ID,NAME,CURRENT_TYPE,PROPOSED_TYPE,CURRENT_SALE_OK,PROPOSED_SALE_OK,CURRENT_PURCHASE_OK,PROPOSED_PURCHASE_OK,CATEGORY,COMPANY,ACTIVE,EVIDENCE,CONFIDENCE,ACTION,REASON,MISMATCH,SALE_LINE_REFERENCES,PURCHASE_LINE_REFERENCES,INVOICE_LINE_REFERENCES,STOCK_MOVE_REFERENCES,STOCK_QUANT_REFERENCES,VALUATION_LAYER_REFERENCES,IS_STORABLE,STANDARD_PRICE,LIST_PRICE
1360,1360,Manómetro Para 410,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manometro para 410,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,3135.94
1359,1359,Manómetro Para Gas 22,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manometro para gas 22,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,3024.05
436,436,Manometro P/bomba DE AGUA 0-100PSI,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manometro p/bomba de agua 0-100psi,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,650.0
1321,1321,MANTEL BLANCO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mantel blanco,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1050.0
690,690,Manubrio P/ ATAUD,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=manubrio p/ ataud,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,752.0
1165,1165,"MAPA DE RD Actualizado AL 2025 FULL COLOR , 48'' X 60'', SUELTO EN BANNER C/estuche",consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mapa de rd actualizado al 2025 full color 48 x 60 suelto en banner c/estuche,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,17845.0
1361,1361,Map Gas Para Soldadura,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=map gas para soldadura,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1050.75
855,855,Marcadores De Páginas Set De Colores Varios (44x12mm),consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=marcadores de paginas set de colores varios 44x12mm,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,20.0
935,935,Marcadores De Pizarra Stabilo AZUL 24X12,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=marcadores de pizarra stabilo azul 24x12,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,145.0
934,934,Marcadores De Pizarra Stabilo NEGRO 24X12,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=marcadores de pizarra stabilo negro 24x12,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,145.0
936,936,Marcadores De Pizarra Stabilo ROJO 24X12,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=marcadores de pizarra stabilo rojo 24x12,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,145.0
1146,1146,Marcadores Permanentes Pelikan,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=marcadores permanentes pelikan,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,58.0
1089,1089,MARCO DE Segueta,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=marco de segueta,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,690.0
485,485,MARCO DE Segueta TRUPER,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=marco de segueta truper,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,650.06
961,961,Martillo M/fibra KENDO,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=martillo m/fibra kendo,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,815.85
1090,1090,Martillo TRUPER 07OZ MA-7,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=martillo truper 07oz ma-7,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,850.61
482,482,Martillo TRUPER 07OZ MA-7 16750,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=martillo truper 07oz ma-7 16750,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,823.28
1091,1091,Martillo TRUPER 16OZ MAR-16,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=martillo truper 16oz mar-16,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,899.2
481,481,Martillo TRUPER 16OZ MAR-16 19710,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=martillo truper 16oz mar-16 19710,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,985.0
1122,1122,Mascarilla CON FILTRO DOBLE Pretul/truper,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=mascarilla con filtro doble pretul/truper,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,2842.0
405,405,Mascarilla CON FILTRO DOBLE RES-PP P/ Pintura TRUPER,consu,consu,True,True,True,True,Pinturas,,True,category=Pinturas; normalized=mascarilla con filtro doble res-pp p/ pintura truper,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,4125.0
529,529,Mascarilla CON FILTRO DOBLE TRUPER,consu,consu,True,True,True,True,Herramientas,,True,category=Herramientas; normalized=mascarilla con filtro doble truper,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,4545.0
1123,1123,Mascarilla Desechables KN95,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mascarilla desechables kn95,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,65.0
406,406,Mascarilla KN95,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mascarilla kn95,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,45.0
471,471,Mascarilla Respirador PARA Particulas,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mascarilla respirador para particulas,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,320.0
1550,1550,Masilla Acrilica De Pared Lanco 1/4 Caja 6/1,consu,consu,True,True,True,True,Mobiliario,,True,category=Mobiliario; normalized=masilla acrilica de pared lanco 1/4 caja 6/1,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1355.93
1582,1582,Masilla LANCO,consu,consu,True,True,True,True,Mobiliario,,True,category=Mobiliario; normalized=masilla lanco,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1250.0
1323,1323,MASITA DE CERDO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=masita de cerdo,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,145.0
1104,1104,Masking TAPE BLANCO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=masking tape blanco,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1440.0
1204,1204,Masking TAPE BYP VERDE 3/4'' X25 Mts 3M,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=masking tape byp verde 3/4 x25 mts 3m,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,285.4
640,640,Material,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=material,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,3000.0
1410,1410,Mecha Irwin 1/2x6 Metal,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mecha irwin 1/2x6 metal,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1150.0
593,593,Medidor Distancia LASER 60MT 35532 KENDO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=medidor distancia laser 60mt 35532 kendo,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,2398.4
1154,1154,Megafono DE MANO 25W Grabadora Y BAT Recargable,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=megafono de mano 25w grabadora y bat recargable,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,4692.82
131,131,MEMBRANA ASFALTICA ITALIANA FIBRA VIDRIO 2.5MM,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=membrana asfaltica italiana fibra vidrio 2.5mm,HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,6956.0
1273,1273,"Memoria RAM 16GB (1x16gb) Kingston, Pc/desktop, DDR4, 3200mhz, NON ECC, (kcp432nd8/16)",consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=memoria ram 16gb 1x16gb kingston pc/desktop ddr4 3200mhz non ecc kcp432nd8/16,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,18735.59
18,18,MESA DE MANICURA PROFESIONAL,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=mesa de manicura profesional,HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,5200.0
1245,1245,MESA DE NOCHE Imnovamed,consu,consu,True,True,True,True,Mobiliario,,True,category=Mobiliario; normalized=mesa de noche imnovamed,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,10754.0
1514,1514,MESA DE Trabajo 220 Cm X 90 Cm X 73cm IRON MASTER,consu,consu,True,True,True,True,Mobiliario,,True,category=Mobiliario; normalized=mesa de trabajo 220 cm x 90 cm x 73cm iron master,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,53559.32
809,809,Mezcladora BAÑERA Monomando Aquavita,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mezcladora banera monomando aquavita,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,4950.0
808,808,Mezcladora Fregadero URREA T/nibco,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mezcladora fregadero urrea t/nibco,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,7000.0
786,786,Mezcladora P/lavamanos Monomando UREA,consu,consu,True,True,True,True,Plomería,,True,category=Plomería; normalized=mezcladora p/lavamanos monomando urea,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,5450.0
71,71,MEZCLADORA P/LAV MONOMANDO 1H T-4119 AQUAVITA,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=mezcladora p/lav monomando 1h t-4119 aquavita,HIGH_CONFIDENCE,FIX_PURCHASE_OK,Already Goods and name is not a service,,0,0,1,0,0,0,False,0.0,3090.0
1117,1117,MEZCLA PAÑETE 42.5 KG/94 LB,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mezcla panete 42.5 kg/94 lb,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,585.0
1576,1576,Microonda 21 L American 700-900 VATIOS,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=microonda 21 l american 700-900 vatios,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,8574.0
58,58,MICROONDA 21 L TECNOMASTER 700-900 VATIOS,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=microonda 21 l tecnomaster 700-900 vatios,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,7266.1
1547,1547,Microondas American HMG-70 | 21 Litros,consu,consu,True,True,True,True,Electrodomésticos,,True,category=Electrodomésticos; normalized=microondas american hmg-70 21 litros,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,6906.93
1542,1542,Microondas Digital Whirlpool 0.9' Ft,consu,consu,True,True,True,True,Electrodomésticos,,True,category=Electrodomésticos; normalized=microondas digital whirlpool 0.9 ft,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,8002.09
1103,1103,MINI PORTA ROLO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mini porta rolo,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,205.0
766,766,MINI PORTA ROLO CON JAULA,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=mini porta rolo con jaula,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,178.0
385,385,Minirolo CON MOTA 2,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=minirolo con mota 2,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,338.0
